"Group.1"	"x"
"1"	"AE01"	0.166666666666667
"2"	"AE02"	0.203333333333333
"3"	"AE03"	0.266666666666667
"4"	"AE04"	0.24
"5"	"AE05"	0.113333333333333
"6"	"AE06"	0.233333333333333
"7"	"AE07"	0.223333333333333
"8"	"AE08"	0.196666666666667
"9"	"AE09"	0.143333333333333
"10"	"AE10"	0.213333333333333
"11"	"AE100"	0.13
"12"	"AE101"	0.12
"13"	"AE102"	0.4375
"14"	"AE103"	0.126666666666667
"15"	"AE104"	0.5025
"16"	"AE105"	0.165
"17"	"AE106"	0.105
"18"	"AE107"	0.18
"19"	"AE108"	0.1075
"20"	"AE109"	0.5075
"21"	"AE11"	0.233333333333333
"22"	"AE110"	0.136666666666667
"23"	"AE111"	0.48
"24"	"AE112"	0.1225
"25"	"AE113"	0.2475
"26"	"AE114"	0.345
"27"	"AE115"	0.275
"28"	"AE116"	0.0566666666666667
"29"	"AE117"	0.2525
"30"	"AE118"	0.3525
"31"	"AE119"	0.31
"32"	"AE12"	0.153333333333333
"33"	"AE120"	0.265
"34"	"AE121"	0.13
"35"	"AE122"	0.2475
"36"	"AE123"	0.25
"37"	"AE124"	0.2575
"38"	"AE125"	0.2275
"39"	"AE126"	0.0866666666666667
"40"	"AE127"	0.3425
"41"	"AE128"	0.225
"42"	"AE129"	0.2375
"43"	"AE13"	0.23
"44"	"AE130"	0.275
"45"	"AE131"	0.255
"46"	"AE132"	0.1825
"47"	"AE133"	0.25
"48"	"AE134"	0.31
"49"	"AE135"	0.345
"50"	"AE136"	0.2775
"51"	"AE137"	0.235
"52"	"AE138"	0.14
"53"	"AE139"	0.2325
"54"	"AE14"	0.193333333333333
"55"	"AE140"	0.2375
"56"	"AE141"	0.2675
"57"	"AE142"	0.3175
"58"	"AE143"	0.235
"59"	"AE144"	0.23
"60"	"AE145"	0.29
"61"	"AE146"	0.2525
"62"	"AE147"	0.225
"63"	"AE148"	0.13
"64"	"AE149"	0.1725
"65"	"AE15"	0.216666666666667
"66"	"AE150"	0.1925
"67"	"AE151"	0.2525
"68"	"AE152"	0.185
"69"	"AE153"	0.2475
"70"	"AE154"	0.35
"71"	"AE155"	0.116666666666667
"72"	"AE156"	0.1975
