"mgCO2.7"	"mgCO2.14"	"difference"
"AE01"	0.166666666666667	0.26	-0.0933333333333333
"AE02"	0.203333333333333	0.153333333333333	0.05
"AE03"	0.266666666666667	0.14	0.126666666666667
"AE04"	0.24	0.16	0.08
"AE05"	0.113333333333333	0.196666666666667	-0.0833333333333333
"AE06"	0.233333333333333	0.106666666666667	0.126666666666667
"AE07"	0.223333333333333	0.18	0.0433333333333333
"AE08"	0.196666666666667	0.0933333333333333	0.103333333333333
"AE09"	0.143333333333333	0.163333333333333	-0.02
"AE10"	0.213333333333333	0.15	0.0633333333333333
"AE100"	0.13	0.09	0.04
"AE101"	0.12	0.223333333333333	-0.103333333333333
"AE102"	0.4375	0.675	-0.2375
"AE103"	0.126666666666667	0.21	-0.0833333333333333
"AE104"	0.5025	0.5875	-0.0850000000000001
"AE105"	0.165	0.505	-0.34
"AE106"	0.105	0.475	-0.37
"AE107"	0.18	0.253333333333333	-0.0733333333333334
"AE108"	0.1075	0.3975	-0.29
"AE109"	0.5075	0.495	0.0125000000000001
"AE11"	0.233333333333333	0.163333333333333	0.07
"AE110"	0.136666666666667	0.16	-0.0233333333333333
"AE111"	0.48	0.645	-0.165
"AE112"	0.1225	0.1825	-0.06
"AE113"	0.2475	0.2625	-0.015
"AE114"	0.345	0.3725	-0.0275
"AE115"	0.275	0.3425	-0.0675
"AE116"	0.0566666666666667	0.216666666666667	-0.16
"AE117"	0.2525	0.3075	-0.055
"AE118"	0.3525	0.27	0.0825
"AE119"	0.31	0.3225	-0.0125
"AE12"	0.153333333333333	0.253333333333333	-0.1
"AE120"	0.265	0.365	-0.1
"AE121"	0.13	0.26	-0.13
"AE122"	0.2475	0.2925	-0.045
"AE123"	0.25	0.4225	-0.1725
"AE124"	0.2575	0.31	-0.0525
"AE125"	0.2275	0.275	-0.0475
"AE126"	0.0866666666666667	0.0466666666666667	0.04
"AE127"	0.3425	0.32	0.0225
"AE128"	0.225	0.3175	-0.0925
"AE129"	0.2375	0.3975	-0.16
"AE13"	0.23	0.146666666666667	0.0833333333333333
"AE130"	0.275	0.36	-0.085
"AE131"	0.255	0.3475	-0.0925
"AE132"	0.1825	0.3175	-0.135
"AE133"	0.25	0.355	-0.105
"AE134"	0.31	0.405	-0.095
"AE135"	0.345	0.28	0.0650000000000001
"AE136"	0.2775	0.445	-0.1675
"AE137"	0.235	0.34	-0.105
"AE138"	0.14	0.2775	-0.1375
"AE139"	0.2325	0.3275	-0.095
"AE14"	0.193333333333333	0.116666666666667	0.0766666666666667
"AE140"	0.2375	0.305	-0.0675
"AE141"	0.2675	0.4125	-0.145
"AE142"	0.3175	0.2825	0.035
"AE143"	0.235	0.26	-0.025
"AE144"	0.23	0.325	-0.095
"AE145"	0.29	0.4025	-0.1125
"AE146"	0.2525	0.3575	-0.105
"AE147"	0.225	0.3275	-0.1025
"AE148"	0.13	0.05	0.08
"AE149"	0.1725	0.245	-0.0725
"AE15"	0.216666666666667	0.126666666666667	0.09
"AE150"	0.1925	0.3475	-0.155
"AE151"	0.2525	0.32	-0.0675
"AE152"	0.185	0.3475	-0.1625
"AE153"	0.2475	0.2875	-0.04
"AE154"	0.35	0.53	-0.18
"AE155"	0.116666666666667	0.2	-0.0833333333333333
"AE156"	0.1975	0.235	-0.0375
"AE157"	0.225	0.3	-0.075
"AE158"	0.28	0.43	-0.15
"AE159"	0.2	0.275	-0.075
"AE16"	0.26	0.116666666666667	0.143333333333333
"AE160"	0.175	0.43	-0.255
"AE161"	0.4175	0.465	-0.0475
"AE162"	0.385	0.5375	-0.1525
"AE163"	0.3475	0.525	-0.1775
"AE164"	0.3225	0.525	-0.2025
"AE165"	0.26	0.3925	-0.1325
"AE166"	0.3825	0.505	-0.1225
"AE167"	0.305	0.41	-0.105
"AE168"	0.26	0.475	-0.215
"AE169"	0.4175	0.545	-0.1275
"AE17"	0.183333333333333	0.12	0.0633333333333333
"AE170"	0.3325	0.4525	-0.12
"AE171"	0.3775	0.4575	-0.08
"AE172"	0.0966666666666667	0.233333333333333	-0.136666666666667
"AE173"	0.2875	0.535	-0.2475
"AE174"	0.3575	0.47	-0.1125
"AE175"	0.3475	0.5075	-0.16
"AE176"	0.195	0.3625	-0.1675
"AE177"	0.3125	0.4425	-0.13
"AE178"	0.3375	0.4575	-0.12
"AE18"	0.256666666666667	0.15	0.106666666666667
"AE19"	0.22	0.123333333333333	0.0966666666666667
"AE198"	0.075	0.13	-0.055
"AE20"	0.23	0.196666666666667	0.0333333333333333
"AE21"	0.32	0.13	0.19
"AE22"	0.103333333333333	0.18	-0.0766666666666667
"AE23"	0.103333333333333	0.18	-0.0766666666666667
"AE24"	0.28	0.11	0.17
"AE25"	0.143333333333333	0.126666666666667	0.0166666666666667
"AE26"	0.196666666666667	0.22	-0.0233333333333333
"AE27"	0.09	0.16	-0.07
"AE28"	0.206666666666667	0.166666666666667	0.04
"AE29"	0.263333333333333	0.186666666666667	0.0766666666666666
"AE30"	0.246666666666667	0.163333333333333	0.0833333333333333
"AE31"	0.176666666666667	0.1	0.0766666666666667
"AE32"	0.23	0.123333333333333	0.106666666666667
"AE33"	0.156666666666667	0.17	-0.0133333333333333
"AE34"	0.25	0.16	0.09
"AE35"	0.213333333333333	0.14	0.0733333333333333
"AE36"	0.306666666666667	0.226666666666667	0.08
"AE37"	0.27	0.17	0.1
"AE38"	0.193333333333333	0.123333333333333	0.07
"AE39"	0.216666666666667	0.136666666666667	0.08
"AE40"	0.276666666666667	0.17	0.106666666666667
"AE41"	0.17	0.206666666666667	-0.0366666666666667
"AE42"	0.273333333333333	0.2	0.0733333333333333
"AE43"	0.293333333333333	0.256666666666667	0.0366666666666667
"AE44"	0.233333333333333	0.173333333333333	0.06
"AE45"	0.29	0.2	0.09
"AE46"	0.193333333333333	0.143333333333333	0.05
"AE47"	0.176666666666667	0.13	0.0466666666666667
"AE48"	0.26	0.133333333333333	0.126666666666667
"AE49"	0.15	0.3	-0.15
"AE50"	0.123333333333333	0.203333333333333	-0.08
"AE51"	0.36	0.4	-0.04
"AE52"	0.17	0.226666666666667	-0.0566666666666667
"AE53"	0.21	0.163333333333333	0.0466666666666667
"AE54"	0.28	0.15	0.13
"AE55"	0.17	0.143333333333333	0.0266666666666667
"AE56"	0.216666666666667	0.113333333333333	0.103333333333333
"AE57"	0.156666666666667	0.243333333333333	-0.0866666666666667
"AE58"	0.13	0.103333333333333	0.0266666666666667
"AE59"	0.163333333333333	0.15	0.0133333333333333
"AE60"	0.223333333333333	0.186666666666667	0.0366666666666667
"AE61"	0.253333333333333	0.25	0.00333333333333335
"AE62"	0.16	0.126666666666667	0.0333333333333333
"AE63"	0.15	0.113333333333333	0.0366666666666667
"AE64"	0.226666666666667	0.17	0.0566666666666666
"AE65"	0.146666666666667	0.196666666666667	-0.05
"AE66"	0.26	0.243333333333333	0.0166666666666667
"AE67"	0.24	0.16	0.08
"AE68"	0.1	0.216666666666667	-0.116666666666667
"AE69"	0.25	0.196666666666667	0.0533333333333333
"AE70"	0.276666666666667	0.17	0.106666666666667
"AE71"	0.166666666666667	0.153333333333333	0.0133333333333333
"AE72"	0.26	0.153333333333333	0.106666666666667
"AE73"	0.156666666666667	0.196666666666667	-0.04
"AE74"	0.226666666666667	0.18	0.0466666666666667
"AE75"	0.14	0.103333333333333	0.0366666666666667
"AE76"	0.25	0.21	0.04
"AE77"	0.303333333333333	0.22	0.0833333333333333
"AE78"	0.26	0.173333333333333	0.0866666666666667
"AE79"	0.6175	0.5025	0.115
"AE80"	0.7225	0.75	-0.0275000000000001
"AE81"	0.525	0.4525	0.0725
"AE82"	0.66	0.5175	0.1425
"AE83"	0.48	0.5375	-0.0575
